"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","","Todd Gurley","LAR","RB1","12","1","2","1.3","0.5","1.0","0.0"
"2","","Le'Veon Bell","PIT","RB2","7","1","2","1.7","0.5","2.0","0.0"
"3","","Ezekiel Elliott","DAL","RB3","8","3","4","3.4","0.5","3.0","0.0"
"4","","David Johnson","ARI","RB4","9","3","6","3.9","1.0","4.0","0.0"
"5","","Antonio Brown","PIT","WR1","7","4","7","5.3","0.9","5.0","0.0"
"6","","Alvin Kamara","NO","RB5","6","5","14","7.3","2.9","6.0","0.0"
"7","","DeAndre Hopkins","HOU","WR2","10","6","11","8.3","1.9","9.0","+2.0"
"8","","Saquon Barkley","NYG","RB6","9","6","12","9.1","2.1","7.0","-1.0"
"9","","Melvin Gordon","LAC","RB7","8","6","12","9.4","1.8","11.0","+2.0"
"10","","Leonard Fournette","JAC","RB8","9","7","13","9.7","2.2","8.0","-2.0"
"11","","Odell Beckham Jr.","NYG","WR3","9","8","14","10.6","2.4","12.0","+1.0"
"12","","Julio Jones","ATL","WR4","8","5","13","10.7","2.5","14.0","+2.0"
"13","","Kareem Hunt","KC","RB9","12","9","16","11.6","2.2","10.0","-3.0"
"14","","Michael Thomas","NO","WR5","6","13","16","14.9","1.1","15.0","+1.0"
"15","","Dalvin Cook","MIN","RB10","10","12","17","15.1","1.6","13.0","-2.0"
"16","","A.J. Green","CIN","WR6","9","10","20","17.0","3.1","20.0","+4.0"
"17","","Keenan Allen","LAC","WR7","8","14","20","17.0","1.9","18.0","+1.0"
"18","","Devonta Freeman","ATL","RB11","8","14","21","17.6","2.8","17.0","-1.0"
"19","","Davante Adams","GB","WR8","7","15","21","18.1","1.7","19.0","0.0"
"20","","Christian McCaffrey","CAR","RB12","4","20","27","22.4","2.3","16.0","-4.0"
"21","","Rob Gronkowski","NE","TE1","11","19","27","22.9","3.2","22.0","+1.0"
"22","","Jordan Howard","CHI","RB13","5","17","28","24.0","3.5","21.0","-1.0"
"23","","Mike Evans","TB","WR9","5","20","31","25.0","3.6","24.0","+1.0"
"24","","Joe Mixon","CIN","RB14","9","23","32","25.9","2.9","23.0","-1.0"
"25","","Doug Baldwin","SEA","WR10","7","21","29","26.1","2.8","34.0","+9.0"
"26","","Jerick McKinnon","SF","RB15","11","19","32","26.3","4.1","27.0","+1.0"
"27","","Adam Thielen","MIN","WR11","10","19","32","26.6","4.3","32.0","+5.0"
"28","","T.Y. Hilton","IND","WR12","9","23","39","29.1","6.3","30.0","+2.0"
"29","","Stefon Diggs","MIN","WR13","10","22","37","31.1","5.3","31.0","+2.0"
"30","","Tyreek Hill","KC","WR14","12","23","43","33.3","7.3","28.0","-2.0"
"31","","Amari Cooper","OAK","WR15","7","26","47","33.9","6.4","33.0","+2.0"
"32","","Alex Collins","BAL","RB16","10","29","49","34.1","6.4","36.0","+4.0"
"33","","LeSean McCoy","BUF","RB17","11","17","46","34.4","11.8","26.0","-7.0"
"34","","Jay Ajayi","PHI","RB18","9","28","43","37.3","4.3","38.0","+4.0"
"35","","Kenyan Drake","MIA","RB19","11","30","48","37.3","6.0","37.0","+2.0"
"36","","Allen Robinson","CHI","WR16","5","34","49","40.1","5.1","50.0","+14.0"
"37","","Zach Ertz","PHI","TE2","9","31","65","40.3","11.0","39.0","+2.0"
"38","","Travis Kelce","KC","TE3","12","23","57","40.4","13.0","29.0","-9.0"
"39","","JuJu Smith-Schuster","PIT","WR17","7","29","52","40.9","6.9","41.0","+2.0"
"40","","Marvin Jones","DET","WR18","6","22","59","42.0","12.2","55.0","+15.0"
"41","","Larry Fitzgerald","ARI","WR19","9","35","52","43.3","7.0","44.0","+3.0"
"42","","Derrick Henry","TEN","RB20","8","33","69","45.3","11.5","35.0","-7.0"
"43","","Lamar Miller","HOU","RB21","10","37","57","47.7","6.1","47.0","+4.0"
"44","","Brandin Cooks","LAR","WR20","12","40","60","48.7","6.6","43.0","-1.0"
"45","","Golden Tate","DET","WR21","6","39","55","49.3","6.1","54.0","+9.0"
"46","","Demaryius Thomas","DEN","WR22","10","41","70","50.3","8.8","46.0","0.0"
"47","","Josh Gordon","CLE","WR23","11","38","80","51.4","12.8","52.0","+5.0"
"48","","Royce Freeman","DEN","RB22","10","32","87","52.0","18.8","49.0","+1.0"
"49","","Chris Hogan","NE","WR24","11","40","84","53.0","14.4","62.0","+13.0"
"50","","Alshon Jeffery","PHI","WR25","9","41","69","53.9","10.1","57.0","+7.0"
"51","","Dion Lewis","TEN","RB23","8","44","90","57.1","15.2","60.0","+9.0"
"52","","Marshawn Lynch","OAK","RB24","7","44","96","58.1","17.0","65.0","+13.0"
"53","","Jarvis Landry","CLE","WR26","11","42","86","59.3","14.7","42.0","-11.0"
"54","","Sammy Watkins","KC","WR27","12","45","78","59.4","10.0","76.0","+22.0"
"55","","Tevin Coleman","ATL","RB25","8","53","68","59.4","4.5","69.0","+14.0"
"56","","Aaron Rodgers","GB","QB1","7","28","209","60.9","60.7","25.0","-31.0"
"57","","Sony Michel","NE","RB26","11","33","101","64.4","21.4","67.0","+10.0"
"58","","Michael Crabtree","BAL","WR28","10","58","73","64.6","5.0","71.0","+13.0"
"59","","Russell Wilson","SEA","QB2","7","36","61","45.8","7.8","48.0","-11.0"
"60","","Mark Ingram","NO","RB27","6","54","93","68.7","12.6","51.0","-9.0"
"61","","Robby Anderson","NYJ","WR29","11","55","98","68.7","13.2","97.0","+36.0"
"62","","Rashaad Penny","SEA","RB28","7","25","87","69.0","19.5","58.0","-4.0"
"63","","Emmanuel Sanders","DEN","WR30","10","58","91","70.0","10.0","91.0","+28.0"
"64","","Corey Davis","TEN","WR31","8","55","92","70.9","13.6","70.0","+6.0"
"65","","Robert Woods","LAR","WR32","12","64","80","72.1","6.2","85.0","+20.0"
"66","","Greg Olsen","CAR","TE4","4","58","97","72.3","12.8","59.0","-7.0"
"67","","Cam Newton","CAR","QB3","4","40","79","53.0","12.3","56.0","-11.0"
"68","","Tom Brady","NE","QB4","11","42","73","53.8","13.0","45.0","-23.0"
"69","","Cooper Kupp","LAR","WR33","12","63","99","77.0","14.4","93.0","+24.0"
